Coin1,Coin1 1% Conf,Coin1 10% Conf,Coin1 5% Conf,Coin1 ADF Stat,Coin1 Max,Coin1 Mean,Coin1 Min,Coin1 Std Dev,Coin1 p-value,Coin2,Coin2 1% Conf,Coin2 10% Conf,Coin2 5% Conf,Coin2 ADF Stat,Coin2 Max,Coin2 Mean,Coin2 Min,Coin2 Std Dev,Coin2 p-value,Pair Name,returns
BTC,-3.455365238788105,-2.5726375763314966,-2.8725510317187024,-3.6342586243558657,19343.04,8366.377851851845,2723.58,3866.216165303665,0.005138859052968668,BCC,-3.455365238788105,-2.5726375763314966,-2.8725510317187024,-3.421366275622737,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.010251706899031956,BTC/BCC,303.22637615418364
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.0786875177544246,19343.04,8366.377851851845,2723.58,3866.216165303665,0.25317035363815477,ETH,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.0128869560254015,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.28095136044382285,BTC/ETH,115.5638677485638
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.8995383307675922,19343.04,8366.377851851845,2723.58,3866.216165303665,0.33227832566144033,LTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.906088265425804,357.51001,128.89340737037048,41.919998,77.18448935059806,0.3292024414352631,BTC/LTC,352.24180748064725
BTC,-3.4557539868570775,-2.572728476331361,-2.8727214497041422,-3.2299686178219558,19343.04,8366.377851851845,2723.58,3866.216165303665,0.01831420583505133,XRP,-3.4557539868570775,-2.572728476331361,-2.8727214497041422,-3.1147581865250764,2.78,0.629543333333333,0.1526,0.5564506793990857,0.02548012017395733,BTC/XRP,379.65167042005726
BTC,-3.4552699038400827,-2.5726152830188678,-2.8725092359464526,0.008062204686298325,19343.04,8366.377851851845,2723.58,3866.216165303665,0.9591937679338733,EOS,-3.4552699038400827,-2.5726152830188678,-2.8725092359464526,0.2412445623984562,16.61,5.198221111111111,0.4924,4.287009349482963,0.9744822844551734,BTC/EOS,88.10629125925705
BTC,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-1.8528664482559187,19343.04,8366.377851851845,2723.58,3866.216165303665,0.35454843991486484,XLM,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-1.5352183018515528,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.5160230282596365,BTC/XLM,801.5875543479044
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.057766270385162,19343.04,8366.377851851845,2723.58,3866.216165303665,0.26183240351476555,IOT,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.0078366769587186,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.2831475959519877,BTC/IOT,290.7369788316382
BTC,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-2.0974026007489406,19343.04,8366.377851851845,2723.58,3866.216165303665,0.24556031069011736,XMR,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-2.057603463684399,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.2619004445139253,BTC/XMR,372.89974255076055
BTC,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.9531862556874489,19343.04,8366.377851851845,2723.58,3866.216165303665,0.3074686987827562,DASH,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-1.9054044719340764,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.32952296353961974,BTC/DASH,173.0363699132696
BCC,-3.455558114028747,-2.572682677000175,-2.872635586277424,-2.210123780286516,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.2025916486063668,ETH,-3.455558114028747,-2.572682677000175,-2.872635586277424,-2.2239763546300724,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.19765877982542018,BCC/ETH,-52.567294881565005
BCC,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.4654855931078887,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.12409944866408079,LTC,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.4940920004807787,357.51001,128.89340737037048,41.919998,77.18448935059806,0.11691843049169293,BCC/LTC,-31.054058623767745
BCC,-3.455952927706342,-2.572774990685656,-2.8728086526320302,-2.2971726959299357,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.1728814548582983,XRP,-3.4560535712549925,-2.5727985212493754,-2.8728527662442334,-1.9997547676099026,2.78,0.629543333333333,0.1526,0.5564506793990857,0.2866806353769304,BCC/XRP,117.93873884650515
BCC,-3.455175292841607,-2.57259315846006,-2.8724677563219485,-0.7427773911908843,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.8353559886174862,EOS,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-0.6878581013919629,16.61,5.198221111111111,0.4924,4.287009349482963,0.8498695456587486,BCC/EOS,251.60212055284447
BCC,-3.4562572510874396,-2.5728461399461744,-2.8729420379793598,-1.4078402633251492,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.5785116794575071,XLM,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.080038621120729,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.25261654925160654,BCC/XLM,-33.965696818531285
BCC,-3.4560535712549925,-2.5727985212493754,-2.8728527662442334,-4.289716323175403,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.00046278403576505877,IOT,-3.4560535712549925,-2.5727985212493754,-2.8728527662442334,-3.98720185972392,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.001479028794904829,BCC/IOT,70.70528730099417
BCC,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.8379813332391266,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.053049871291564625,XMR,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.885409056318901,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.04707122508084277,BCC/XMR,129.21149169914432
BCC,-3.4550813975770827,-2.5725712007462582,-2.8724265892710914,-3.3238431376152393,3715.9099119999996,1084.5671484592583,220.30000299999998,690.4334699927078,0.013845749628238832,DASH,-3.4550813975770827,-2.5725712007462582,-2.8724265892710914,-3.4206262658035365,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.01027550136766822,BCC/DASH,99.44568848119096
ETH,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-3.336453692123135,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.013325578191329346,LTC,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-3.325187862711343,357.51001,128.89340737037048,41.919998,77.18448935059806,0.013789439143814178,ETH/LTC,8.894988850463834
ETH,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-3.647597267385784,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.004913622285471259,XRP,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-3.36017235824571,2.78,0.629543333333333,0.1526,0.5564506793990857,0.01239387972844083,ETH/XRP,210.60810488346098
ETH,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,1.0925649371445139,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.9951526651522986,EOS,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,0.9663831189765705,16.61,5.198221111111111,0.4924,4.287009349482963,0.9938982780295419,ETH/EOS,43.38895327919956
ETH,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-1.2883237010888478,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.6344971606134109,XLM,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-1.1806169346865327,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.681877750892887,ETH/XLM,260.02837248021126
ETH,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-2.4292632327318504,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.13364682149716123,IOT,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-2.4316203838221107,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.1330099200844821,ETH/IOT,-43.286816997844504
ETH,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.172420427049561,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.21640706039236474,XMR,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.218037284439252,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.19976421367157027,ETH/XMR,-14.411815510579853
ETH,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-2.1215468305026475,1385.02002,551.6716657148148,218.11999500000002,283.1183450928488,0.2359392355627915,DASH,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-2.099544141149956,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.24469794414392576,ETH/DASH,18.227015244683063
LTC,-3.456360306409983,-2.572870232500465,-2.8729872043802356,-3.646188702207103,357.51001,128.89340737037048,41.919998,77.18448935059806,0.004936975504564971,XRP,-3.456360306409983,-2.572870232500465,-2.8729872043802356,-3.30725279404952,2.78,0.629543333333333,0.1526,0.5564506793990857,0.014557370844739653,LTC/XRP,32.79650120648894
LTC,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-0.546271162438485,357.51001,128.89340737037048,41.919998,77.18448935059806,0.8826663733490504,EOS,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-0.27025155754995667,16.61,5.198221111111111,0.4924,4.287009349482963,0.929613205154953,LTC/EOS,134.31778928403443
LTC,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.3356040419629616,357.51001,128.89340737037048,41.919998,77.18448935059806,0.16074188457263738,XLM,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.13932193305312,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.2289997131448256,LTC/XLM,185.6092785561212
LTC,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-2.5333206846446337,357.51001,128.89340737037048,41.919998,77.18448935059806,0.10757607047154477,IOT,-3.4550813975770827,-2.5725712007462582,-2.8724265892710914,-4.018520649663777,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.0013165770187249523,LTC/IOT,206.1130424835032
LTC,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-3.6204972609512516,357.51001,128.89340737037048,41.919998,77.18448935059806,0.0053810407909210085,XMR,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-3.6944471098374865,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.004191941944481076,LTC/XMR,196.73125094747382
LTC,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.3509027418834836,357.51001,128.89340737037048,41.919998,77.18448935059806,0.15607569129445853,DASH,-3.4556556713934934,-2.57270548832225,-2.872678352489859,-2.3282286644675194,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.1630252076228228,LTC/DASH,7.871298751469767
XRP,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-2.4115754594450958,2.78,0.629543333333333,0.1526,0.5564506793990857,0.13849593897630658,EOS,-3.4558530692911504,-2.572751643088207,-2.872764881778665,-1.9103579373125867,16.61,5.198221111111111,0.4924,4.287009349482963,0.32720420907539594,XRP/EOS,-6.903299112471433
XRP,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-3.0192684063582487,2.78,0.629543333333333,0.1526,0.5564506793990857,0.03313373590163993,XLM,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.5214343533212222,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.11034583287864042,XRP/XLM,148.35108800896185
XRP,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-3.4773361667422162,2.78,0.629543333333333,0.1526,0.5564506793990857,0.008588587705346585,IOT,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-3.6784943932895233,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.0044260222661303954,XRP/IOT,-22.48812080334794
XRP,-3.456360306409983,-2.572870232500465,-2.8729872043802356,-2.9635426224270724,2.78,0.629543333333333,0.1526,0.5564506793990857,0.03844219085197157,XMR,-3.456360306409983,-2.572870232500465,-2.8729872043802356,-3.2933723847250347,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.015177340873178992,XRP/XMR,243.1218476395381
XRP,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-2.240067451252889,2.78,0.629543333333333,0.1526,0.5564506793990857,0.1920258699092301,DASH,-3.4562572510874396,-2.5728461399461744,-2.8729420379793598,-1.8817067026906773,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.3407151811323582,XRP/DASH,82.48141401839308
EOS,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.643198250041841,16.61,5.198221111111111,0.4924,4.287009349482963,0.08439362522356575,XLM,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.758024500752267,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.0645243257364476,EOS/XLM,330.79532443793096
EOS,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-0.4474985903076587,16.61,5.198221111111111,0.4924,4.287009349482963,0.901861071077007,IOT,-3.4564641849494113,-2.572894516864816,-2.873032730098417,-0.8347402583805281,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.8087038266377473,EOS/IOT,94.48474185320156
EOS,-3.454988209954765,-2.572549407997327,-2.8723857312734613,0.3009850026443445,16.61,5.198221111111111,0.4924,4.287009349482963,0.9773896326089718,XMR,-3.454988209954765,-2.572549407997327,-2.8723857312734613,0.07893682798112821,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.9645932398308535,EOS/XMR,299.2376331011951
EOS,-3.454988209954765,-2.572549407997327,-2.8723857312734613,0.9342971365693801,16.61,5.198221111111111,0.4924,4.287009349482963,0.9935219803268629,DASH,-3.454988209954765,-2.572549407997327,-2.8723857312734613,0.8253544551302667,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.9920346064001002,EOS/DASH,170.82903314350045
XLM,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-1.8828011980156185,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.34019471901370885,IOT,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.0025704823795896,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.2854471708326203,XLM/IOT,-11.498848064774265
XLM,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.2362453794177126,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.19335437231887131,XMR,-3.4548957220044336,-2.572527778361272,-2.8723451788613157,-2.5385817343510757,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.10636689688178746,XLM/XMR,376.9376153263176
XLM,-3.4562572510874396,-2.5728461399461744,-2.8729420379793598,-1.049081647528966,0.8848,0.19907681481481485,0.01057,0.19488682665569954,0.734944891046557,DASH,-3.4562572510874396,-2.5728461399461744,-2.8729420379793598,-1.1806013232616275,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.6818843757994447,XLM/DASH,129.7332296773806
IOT,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-2.573790793193756,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.09853606434362716,XMR,-3.4561550092339512,-2.5728222369384763,-2.8728972266578676,-2.6845580102995292,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.07674873768805818,IOT/XMR,406.6901472014821
IOT,-3.456360306409983,-2.572870232500465,-2.8729872043802356,-2.6627582691187848,5.32,1.564674444444444,0.28600000000000003,1.1976989612704838,0.08070737568332542,DASH,-3.456360306409983,-2.572870232500465,-2.8729872043802356,-2.9437624437531618,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.04049057787637686,IOT/DASH,470.97470998026034
XMR,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-1.3976807926635035,467.5,197.2311852592592,43.240002000000004,105.48872665639159,0.5833874692367096,DASH,-3.4554613060274972,-2.5726600403359887,-2.8725931472675046,-1.3773838406923413,1433.410034,520.5694067555559,181.600006,274.5520267078776,0.5930692900483872,XMR/DASH,132.25693587848227
